articulograph,position,trial,sensor,coordinate,SD
VOX,p2,t1,s4,Qz,0.0039
VOX,p2,t1,s5,Qz,0.0026
VOX,p2,t1,s6,Qz,0.0039
VOX,p2,t1,s7,Qz,0.004
VOX,p2,t1,s8,Qz,0.0077
WAVE,p2,t1,s1,pitch,0.006
WAVE,p2,t1,s2,pitch,0.0128
WAVE,p2,t1,s3,pitch,0.0045
WAVE,p2,t1,s4,pitch,0.0073
WAVE,p2,t1,s5,pitch,0.0055
WAVE,p2,t1,s6,pitch,0.0111
WAVE,p2,t1,s7,pitch,0.0094
WAVE,p2,t1,s8,pitch,0.0087
VOX,p2,t1,s1,pitch,0.0037
VOX,p2,t1,s2,pitch,0.0039
VOX,p2,t1,s3,pitch,0.0033
VOX,p2,t1,s4,pitch,0.0033
VOX,p2,t1,s5,pitch,0.0025
VOX,p2,t1,s6,pitch,0.0038
VOX,p2,t1,s7,pitch,0.0036
VOX,p2,t1,s8,pitch,0.006
WAVE,p2,t1,s1,yaw,0.0141
WAVE,p2,t1,s2,yaw,0.0163
WAVE,p2,t1,s3,yaw,0.0903
WAVE,p2,t1,s4,yaw,0.0953
WAVE,p2,t1,s5,yaw,0.0287
WAVE,p2,t1,s6,yaw,0.0314
WAVE,p2,t1,s7,yaw,0.0056
WAVE,p2,t1,s8,yaw,0.0072
VOX,p2,t1,s1,yaw,0.0906
VOX,p2,t1,s2,yaw,0.0001
VOX,p2,t1,s3,yaw,0.0516
VOX,p2,t1,s4,yaw,0.0001
VOX,p2,t1,s5,yaw,0.0907
VOX,p2,t1,s6,yaw,0.0001
VOX,p2,t1,s7,yaw,0.0703
VOX,p2,t1,s8,yaw,0.0005
WAVE,p3,t1,s1,Qx,0.0415
WAVE,p3,t1,s2,Qx,0.1025
WAVE,p3,t1,s3,Qx,0.0301
WAVE,p3,t1,s4,Qx,0.0438
WAVE,p3,t1,s5,Qx,0.0328
WAVE,p3,t1,s6,Qx,0.0677
WAVE,p3,t1,s7,Qx,0.0929
WAVE,p3,t1,s8,Qx,0.1133
VOX,p3,t1,s1,Qx,0.0095
VOX,p3,t1,s2,Qx,0.0102
VOX,p3,t1,s3,Qx,0.0091
VOX,p3,t1,s4,Qx,0.0096
VOX,p3,t1,s5,Qx,0.007
VOX,p3,t1,s6,Qx,0.0121
VOX,p3,t1,s7,Qx,0.0094
VOX,p3,t1,s8,Qx,0.0149
WAVE,p3,t1,s1,Qy,0.0683
WAVE,p3,t1,s2,Qy,0.0727
WAVE,p3,t1,s3,Qy,0.0602
WAVE,p3,t1,s4,Qy,0.1016
WAVE,p3,t1,s5,Qy,0.0769
WAVE,p3,t1,s6,Qy,0.0892
WAVE,p3,t1,s7,Qy,0.0576
WAVE,p3,t1,s8,Qy,0.0914
VOX,p3,t1,s1,Qy,0.0083
VOX,p3,t1,s2,Qy,0.0111
VOX,p3,t1,s3,Qy,0.0099
VOX,p3,t1,s4,Qy,0.0119
VOX,p3,t1,s5,Qy,0.0094
VOX,p3,t1,s6,Qy,0.0161
VOX,p3,t1,s7,Qy,0.0138
VOX,p3,t1,s8,Qy,0.0199
WAVE,p3,t1,s1,Qz,0.0988
WAVE,p3,t1,s2,Qz,0.1011
WAVE,p3,t1,s3,Qz,0.0546
WAVE,p3,t1,s4,Qz,0.0829
WAVE,p3,t1,s5,Qz,0.0572
WAVE,p3,t1,s6,Qz,0.0734
WAVE,p3,t1,s7,Qz,0.0511
WAVE,p3,t1,s8,Qz,0.0843
VOX,p3,t1,s1,Qz,0.0055
VOX,p3,t1,s2,Qz,0.0074
VOX,p3,t1,s3,Qz,0.0075
VOX,p3,t1,s4,Qz,0.0081
VOX,p3,t1,s5,Qz,0.0058
VOX,p3,t1,s6,Qz,0.0085
VOX,p3,t1,s7,Qz,0.0078
VOX,p3,t1,s8,Qz,0.0109
WAVE,p3,t1,s1,pitch,0.0102
WAVE,p3,t1,s2,pitch,0.0205
WAVE,p3,t1,s3,pitch,0.0093
WAVE,p3,t1,s4,pitch,0.0118
WAVE,p3,t1,s5,pitch,0.0107
WAVE,p3,t1,s6,pitch,0.0197
WAVE,p3,t1,s7,pitch,0.0151
WAVE,p3,t1,s8,pitch,0.0124
VOX,p3,t1,s1,pitch,0.0059
VOX,p3,t1,s2,pitch,0.0064
VOX,p3,t1,s3,pitch,0.0059
VOX,p3,t1,s4,pitch,0.0059
VOX,p3,t1,s5,pitch,0.0045
VOX,p3,t1,s6,pitch,0.0076
VOX,p3,t1,s7,pitch,0.0064
VOX,p3,t1,s8,pitch,0.0094
WAVE,p3,t1,s1,yaw,0.0214
WAVE,p3,t1,s2,yaw,0.0259
