articulograph,position,trial,sensor,coordinate,SD
VOX,p8,t1,s5,pitch,0.0041
VOX,p8,t1,s6,pitch,0.0042
VOX,p8,t1,s7,pitch,0.0039
VOX,p8,t1,s8,pitch,0.0049
WAVE,p8,t1,s1,yaw,0.8615
WAVE,p8,t1,s2,yaw,0.0631
WAVE,p8,t1,s3,yaw,4.4612
WAVE,p8,t1,s4,yaw,0.0041
WAVE,p8,t1,s5,yaw,1.2042
WAVE,p8,t1,s6,yaw,0.293
WAVE,p8,t1,s7,yaw,0.0621
WAVE,p8,t1,s8,yaw,0.0534
VOX,p8,t1,s1,yaw,0.0609
VOX,p8,t1,s2,yaw,0.0402
VOX,p8,t1,s3,yaw,0.0592
VOX,p8,t1,s4,yaw,0.0653
VOX,p8,t1,s5,yaw,0.1207
VOX,p8,t1,s6,yaw,0.1061
VOX,p8,t1,s7,yaw,0.0415
VOX,p8,t1,s8,yaw,0.0565
WAVE,p9,t1,s1,Qx,1.2061
WAVE,p9,t1,s2,Qx,0.6767
WAVE,p9,t1,s3,Qx,0.4742
WAVE,p9,t1,s4,Qx,0.3829
WAVE,p9,t1,s5,Qx,0.4282
WAVE,p9,t1,s6,Qx,0.2755
WAVE,p9,t1,s7,Qx,0.2232
WAVE,p9,t1,s8,Qx,0.212
VOX,p9,t1,s1,Qx,0.0148
VOX,p9,t1,s2,Qx,0.0187
VOX,p9,t1,s3,Qx,0.0292
VOX,p9,t1,s4,Qx,0.0313
VOX,p9,t1,s5,Qx,0.034
VOX,p9,t1,s6,Qx,0.0408
VOX,p9,t1,s7,Qx,0.0525
VOX,p9,t1,s8,Qx,0.0687
WAVE,p9,t1,s1,Qy,0.6899
WAVE,p9,t1,s2,Qy,0.4114
WAVE,p9,t1,s3,Qy,0.5246
WAVE,p9,t1,s4,Qy,0.4146
WAVE,p9,t1,s5,Qy,0.2766
WAVE,p9,t1,s6,Qy,0.2676
WAVE,p9,t1,s7,Qy,0.1326
WAVE,p9,t1,s8,Qy,0.1184
VOX,p9,t1,s1,Qy,0.0188
VOX,p9,t1,s2,Qy,0.0243
VOX,p9,t1,s3,Qy,0.0375
VOX,p9,t1,s4,Qy,0.0366
VOX,p9,t1,s5,Qy,0.0421
VOX,p9,t1,s6,Qy,0.0556
VOX,p9,t1,s7,Qy,0.0615
VOX,p9,t1,s8,Qy,0.0844
WAVE,p9,t1,s1,Qz,1.5734
WAVE,p9,t1,s2,Qz,0.5081
WAVE,p9,t1,s3,Qz,0.5479
WAVE,p9,t1,s4,Qz,0.6437
WAVE,p9,t1,s5,Qz,0.5556
WAVE,p9,t1,s6,Qz,0.6152
WAVE,p9,t1,s7,Qz,0.1853
WAVE,p9,t1,s8,Qz,0.1497
VOX,p9,t1,s1,Qz,0.0149
VOX,p9,t1,s2,Qz,0.0174
VOX,p9,t1,s3,Qz,0.0314
VOX,p9,t1,s4,Qz,0.0277
VOX,p9,t1,s5,Qz,0.0388
VOX,p9,t1,s6,Qz,0.0475
VOX,p9,t1,s7,Qz,0.0616
VOX,p9,t1,s8,Qz,0.0725
WAVE,p9,t1,s1,pitch,0.3687
WAVE,p9,t1,s2,pitch,0.1545
WAVE,p9,t1,s3,pitch,0.2484
WAVE,p9,t1,s4,pitch,0.2191
WAVE,p9,t1,s5,pitch,0.2269
WAVE,p9,t1,s6,pitch,0.1376
WAVE,p9,t1,s7,pitch,0.074
WAVE,p9,t1,s8,pitch,0.0765
VOX,p9,t1,s1,pitch,0.0025
VOX,p9,t1,s2,pitch,0.0029
VOX,p9,t1,s3,pitch,0.0042
VOX,p9,t1,s4,pitch,0.0068
VOX,p9,t1,s5,pitch,0.0073
VOX,p9,t1,s6,pitch,0.0071
VOX,p9,t1,s7,pitch,0.0064
VOX,p9,t1,s8,pitch,0.0082
WAVE,p9,t1,s1,yaw,0.9615
WAVE,p9,t1,s2,yaw,0.116
WAVE,p9,t1,s3,yaw,10.0627
WAVE,p9,t1,s4,yaw,0.0068
WAVE,p9,t1,s5,yaw,1.7259
WAVE,p9,t1,s6,yaw,0.45
WAVE,p9,t1,s7,yaw,0.1049
WAVE,p9,t1,s8,yaw,0.1127
VOX,p9,t1,s1,yaw,0.0857
VOX,p9,t1,s2,yaw,0.0658
VOX,p9,t1,s3,yaw,0.1201
VOX,p9,t1,s4,yaw,0.1214
VOX,p9,t1,s5,yaw,0.2338
VOX,p9,t1,s6,yaw,0.1649
VOX,p9,t1,s7,yaw,0.0661
VOX,p9,t1,s8,yaw,0.085
WAVE,p10,t1,s1,Qx,0.0613
WAVE,p10,t1,s2,Qx,0.0301
WAVE,p10,t1,s3,Qx,0.0167
WAVE,p10,t1,s4,Qx,0.0192
WAVE,p10,t1,s5,Qx,0.0241
WAVE,p10,t1,s6,Qx,0.0081
WAVE,p10,t1,s7,Qx,0.0133
WAVE,p10,t1,s8,Qx,0.0228
VOX,p10,t1,s1,Qx,0.012
VOX,p10,t1,s2,Qx,0.0096
VOX,p10,t1,s3,Qx,0.0114
VOX,p10,t1,s4,Qx,0.0067
VOX,p10,t1,s5,Qx,0.0469
VOX,p10,t1,s6,Qx,0.003
VOX,p10,t1,s7,Qx,0.0111
VOX,p10,t1,s8,Qx,0.0019
WAVE,p10,t1,s1,Qy,0.0385
WAVE,p10,t1,s2,Qy,0.0248
WAVE,p10,t1,s3,Qy,0.016
WAVE,p10,t1,s4,Qy,0.0248
WAVE,p10,t1,s5,Qy,0.0478
WAVE,p10,t1,s6,Qy,0.0278
WAVE,p10,t1,s7,Qy,0.0076
WAVE,p10,t1,s8,Qy,0.015
VOX,p10,t1,s1,Qy,0.0052
VOX,p10,t1,s2,Qy,0.0053
VOX,p10,t1,s3,Qy,0.0049
VOX,p10,t1,s4,Qy,0.0036
VOX,p10,t1,s5,Qy,0.0174
VOX,p10,t1,s6,Qy,0.0028
VOX,p10,t1,s7,Qy,0.0216
VOX,p10,t1,s8,Qy,0.0029
WAVE,p10,t1,s1,Qz,0.0212
WAVE,p10,t1,s2,Qz,0.0602
WAVE,p10,t1,s3,Qz,0.0162
WAVE,p10,t1,s4,Qz,0.0194
WAVE,p10,t1,s5,Qz,0.0234
WAVE,p10,t1,s6,Qz,0.017
WAVE,p10,t1,s7,Qz,0.0225
WAVE,p10,t1,s8,Qz,0.0285
VOX,p10,t1,s1,Qz,0.0175
VOX,p10,t1,s2,Qz,0.0063
VOX,p10,t1,s3,Qz,0.0064
VOX,p10,t1,s4,Qz,0.002
VOX,p10,t1,s5,Qz,0.0136
VOX,p10,t1,s6,Qz,0.0022
VOX,p10,t1,s7,Qz,0.0076
VOX,p10,t1,s8,Qz,0.0024
WAVE,p10,t1,s1,pitch,0.0045
WAVE,p10,t1,s2,pitch,0.0194
WAVE,p10,t1,s3,pitch,0.0085
WAVE,p10,t1,s4,pitch,0.0069
WAVE,p10,t1,s5,pitch,0.0098
WAVE,p10,t1,s6,pitch,0.0045
WAVE,p10,t1,s7,pitch,0.0044
WAVE,p10,t1,s8,pitch,0.0034
VOX,p10,t1,s1,pitch,0.0112
VOX,p10,t1,s2,pitch,0.0077
VOX,p10,t1,s3,pitch,0.0081
VOX,p10,t1,s4,pitch,0.005
VOX,p10,t1,s5,pitch,0.0353
VOX,p10,t1,s6,pitch,0.0026
VOX,p10,t1,s7,pitch,0.0172
VOX,p10,t1,s8,pitch,0.0025
WAVE,p10,t1,s1,yaw,0.0085
WAVE,p10,t1,s2,yaw,0.0235
WAVE,p10,t1,s3,yaw,0.1644
WAVE,p10,t1,s4,yaw,0.114
WAVE,p10,t1,s5,yaw,0.0229
WAVE,p10,t1,s6,yaw,0.0135
WAVE,p10,t1,s7,yaw,0.0057
WAVE,p10,t1,s8,yaw,0.0068
VOX,p10,t1,s1,yaw,0.2649
VOX,p10,t1,s2,yaw,0.0002
VOX,p10,t1,s3,yaw,0.1024
VOX,p10,t1,s4,yaw,0.0001
VOX,p10,t1,s5,yaw,1.3556
VOX,p10,t1,s6,yaw,0.0001
VOX,p10,t1,s7,yaw,0.2015
VOX,p10,t1,s8,yaw,0.0002
WAVE,p11,t1,s1,Qx,0.0075
WAVE,p11,t1,s2,Qx,0.0251
WAVE,p11,t1,s3,Qx,0.0048
WAVE,p11,t1,s4,Qx,0.005
WAVE,p11,t1,s5,Qx,0.004
WAVE,p11,t1,s6,Qx,0.0131
WAVE,p11,t1,s7,Qx,0.0762
WAVE,p11,t1,s8,Qx,0.039
VOX,p11,t1,s1,Qx,0.0286
VOX,p11,t1,s2,Qx,0.0033
VOX,p11,t1,s3,Qx,0.0154
VOX,p11,t1,s4,Qx,0.0021
VOX,p11,t1,s5,Qx,0.0016
VOX,p11,t1,s6,Qx,0.0027
VOX,p11,t1,s7,Qx,0.0028
VOX,p11,t1,s8,Qx,0.0039
WAVE,p11,t1,s1,Qy,0.0203
WAVE,p11,t1,s2,Qy,0.0124
WAVE,p11,t1,s3,Qy,0.0139
WAVE,p11,t1,s4,Qy,0.0234
WAVE,p11,t1,s5,Qy,0.0177
WAVE,p11,t1,s6,Qy,0.0216
WAVE,p11,t1,s7,Qy,0.0294
WAVE,p11,t1,s8,Qy,0.0224
VOX,p11,t1,s1,Qy,0.0196
VOX,p11,t1,s2,Qy,0.003
VOX,p11,t1,s3,Qy,0.0114
VOX,p11,t1,s4,Qy,0.0026
VOX,p11,t1,s5,Qy,0.0016
VOX,p11,t1,s6,Qy,0.003
VOX,p11,t1,s7,Qy,0.0029
VOX,p11,t1,s8,Qy,0.0067
WAVE,p11,t1,s1,Qz,0.0116
WAVE,p11,t1,s2,Qz,0.0307
WAVE,p11,t1,s3,Qz,0.009
WAVE,p11,t1,s4,Qz,0.0156
WAVE,p11,t1,s5,Qz,0.0091
WAVE,p11,t1,s6,Qz,0.0122
WAVE,p11,t1,s7,Qz,0.0453
WAVE,p11,t1,s8,Qz,0.0173
VOX,p11,t1,s1,Qz,0.0102
VOX,p11,t1,s2,Qz,0.0023
VOX,p11,t1,s3,Qz,0.0149
VOX,p11,t1,s4,Qz,0.0024
VOX,p11,t1,s5,Qz,0.0015
VOX,p11,t1,s6,Qz,0.0019
VOX,p11,t1,s7,Qz,0.0023
VOX,p11,t1,s8,Qz,0.0055
WAVE,p11,t1,s1,pitch,0.0035
WAVE,p11,t1,s2,pitch,0.0093
WAVE,p11,t1,s3,pitch,0.0024
WAVE,p11,t1,s4,pitch,0.0043
WAVE,p11,t1,s5,pitch,0.0029
WAVE,p11,t1,s6,pitch,0.0062
WAVE,p11,t1,s7,pitch,0.0186
WAVE,p11,t1,s8,pitch,0.007
VOX,p11,t1,s1,pitch,0.0225
VOX,p11,t1,s2,pitch,0.0028
VOX,p11,t1,s3,pitch,0.015
VOX,p11,t1,s4,pitch,0.0021
VOX,p11,t1,s5,pitch,0.0018
VOX,p11,t1,s6,pitch,0.0025
VOX,p11,t1,s7,pitch,0.0027
VOX,p11,t1,s8,pitch,0.0039
WAVE,p11,t1,s1,yaw,0.01
WAVE,p11,t1,s2,yaw,0.0123
WAVE,p11,t1,s3,yaw,0.0868
WAVE,p11,t1,s4,yaw,0.0393
WAVE,p11,t1,s5,yaw,0.0169
WAVE,p11,t1,s6,yaw,0.017
WAVE,p11,t1,s7,yaw,0.0077
WAVE,p11,t1,s8,yaw,0.0042
VOX,p11,t1,s1,yaw,0.5506
VOX,p11,t1,s2,yaw,0.0001
VOX,p11,t1,s3,yaw,0.2093
VOX,p11,t1,s4,yaw,0.0001
VOX,p11,t1,s5,yaw,0.0701
VOX,p11,t1,s6,yaw,0.0001
VOX,p11,t1,s7,yaw,0.0448
VOX,p11,t1,s8,yaw,0.0003
WAVE,p12,t1,s1,Qx,0.0066
WAVE,p12,t1,s2,Qx,0.0322
WAVE,p12,t1,s3,Qx,0.0083
WAVE,p12,t1,s4,Qx,0.0158
WAVE,p12,t1,s5,Qx,0.0113
WAVE,p12,t1,s6,Qx,0.02
WAVE,p12,t1,s7,Qx,0.0158
WAVE,p12,t1,s8,Qx,0.0248
VOX,p12,t1,s1,Qx,0.0018
VOX,p12,t1,s2,Qx,0.0032
VOX,p12,t1,s3,Qx,0.0028
VOX,p12,t1,s4,Qx,0.0033
VOX,p12,t1,s5,Qx,0.0017
VOX,p12,t1,s6,Qx,0.0039
VOX,p12,t1,s7,Qx,0.0044
VOX,p12,t1,s8,Qx,0.0097
WAVE,p12,t1,s1,Qy,0.0123
WAVE,p12,t1,s2,Qy,0.0146
WAVE,p12,t1,s3,Qy,0.025
WAVE,p12,t1,s4,Qy,0.0356
WAVE,p12,t1,s5,Qy,0.0206
WAVE,p12,t1,s6,Qy,0.022
WAVE,p12,t1,s7,Qy,0.0163
WAVE,p12,t1,s8,Qy,0.0283
VOX,p12,t1,s1,Qy,0.0016
VOX,p12,t1,s2,Qy,0.0028
VOX,p12,t1,s3,Qy,0.0024
VOX,p12,t1,s4,Qy,0.0044
VOX,p12,t1,s5,Qy,0.0039
VOX,p12,t1,s6,Qy,0.0062
VOX,p12,t1,s7,Qy,0.006
VOX,p12,t1,s8,Qy,0.0115
WAVE,p12,t1,s1,Qz,0.0083
WAVE,p12,t1,s2,Qz,0.0225
WAVE,p12,t1,s3,Qz,0.0086
WAVE,p12,t1,s4,Qz,0.0096
WAVE,p12,t1,s5,Qz,0.0129
WAVE,p12,t1,s6,Qz,0.0372
WAVE,p12,t1,s7,Qz,0.0189
WAVE,p12,t1,s8,Qz,0.0335
VOX,p12,t1,s1,Qz,0.0014
VOX,p12,t1,s2,Qz,0.0018
VOX,p12,t1,s3,Qz,0.0019
VOX,p12,t1,s4,Qz,0.0046
VOX,p12,t1,s5,Qz,0.0052
VOX,p12,t1,s6,Qz,0.0061
VOX,p12,t1,s7,Qz,0.0032
VOX,p12,t1,s8,Qz,0.0047
WAVE,p12,t1,s1,pitch,0.0031
WAVE,p12,t1,s2,pitch,0.0088
WAVE,p12,t1,s3,pitch,0.006
WAVE,p12,t1,s4,pitch,0.0111
WAVE,p12,t1,s5,pitch,0.0126
WAVE,p12,t1,s6,pitch,0.0143
WAVE,p12,t1,s7,pitch,0.0071
WAVE,p12,t1,s8,pitch,0.0083
VOX,p12,t1,s1,pitch,0.0019
VOX,p12,t1,s2,pitch,0.003
VOX,p12,t1,s3,pitch,0.0027
VOX,p12,t1,s4,pitch,0.0033
VOX,p12,t1,s5,pitch,0.0021
VOX,p12,t1,s6,pitch,0.0025
VOX,p12,t1,s7,pitch,0.0025
VOX,p12,t1,s8,pitch,0.0062
WAVE,p12,t1,s1,yaw,0.0088
WAVE,p12,t1,s2,yaw,0.0117
WAVE,p12,t1,s3,yaw,0.0526
WAVE,p12,t1,s4,yaw,0.1667
WAVE,p12,t1,s5,yaw,0.0406
WAVE,p12,t1,s6,yaw,0.0373
WAVE,p12,t1,s7,yaw,0.0071
WAVE,p12,t1,s8,yaw,0.0077
VOX,p12,t1,s1,yaw,0.046
VOX,p12,t1,s2,yaw,0.0001
VOX,p12,t1,s3,yaw,0.0491
VOX,p12,t1,s4,yaw,0.0001
VOX,p12,t1,s5,yaw,0.0981
VOX,p12,t1,s6,yaw,0.0001
VOX,p12,t1,s7,yaw,0.042
VOX,p12,t1,s8,yaw,0.0004
WAVE,p13,t1,s1,Qx,0.0072
WAVE,p13,t1,s2,Qx,0.0253
WAVE,p13,t1,s3,Qx,0.0052
WAVE,p13,t1,s4,Qx,0.0053
WAVE,p13,t1,s5,Qx,0.0039
WAVE,p13,t1,s6,Qx,0.0142
WAVE,p13,t1,s7,Qx,0.0627
WAVE,p13,t1,s8,Qx,0.0418
VOX,p13,t1,s1,Qx,0.044
VOX,p13,t1,s2,Qx,0.0032
VOX,p13,t1,s3,Qx,0.0095
VOX,p13,t1,s4,Qx,0.002
VOX,p13,t1,s5,Qx,0.0015
VOX,p13,t1,s6,Qx,0.0029
VOX,p13,t1,s7,Qx,0.0027
VOX,p13,t1,s8,Qx,0.0042
WAVE,p13,t1,s1,Qy,0.0209
WAVE,p13,t1,s2,Qy,0.0116
WAVE,p13,t1,s3,Qy,0.0137
WAVE,p13,t1,s4,Qy,0.0241
WAVE,p13,t1,s5,Qy,0.0172
WAVE,p13,t1,s6,Qy,0.0228
WAVE,p13,t1,s7,Qy,0.0276
WAVE,p13,t1,s8,Qy,0.0236
VOX,p13,t1,s1,Qy,0.0123
VOX,p13,t1,s2,Qy,0.0029
VOX,p13,t1,s3,Qy,0.0118
VOX,p13,t1,s4,Qy,0.0027
VOX,p13,t1,s5,Qy,0.0015
VOX,p13,t1,s6,Qy,0.0029
VOX,p13,t1,s7,Qy,0.0028
VOX,p13,t1,s8,Qy,0.0067
WAVE,p13,t1,s1,Qz,0.0126
WAVE,p13,t1,s2,Qz,0.032
WAVE,p13,t1,s3,Qz,0.0091
WAVE,p13,t1,s4,Qz,0.0154
WAVE,p13,t1,s5,Qz,0.0089
WAVE,p13,t1,s6,Qz,0.0123
WAVE,p13,t1,s7,Qz,0.0343
WAVE,p13,t1,s8,Qz,0.0168
VOX,p13,t1,s1,Qz,0.0141
VOX,p13,t1,s2,Qz,0.0025
VOX,p13,t1,s3,Qz,0.0113
VOX,p13,t1,s4,Qz,0.0024
VOX,p13,t1,s5,Qz,0.0014
VOX,p13,t1,s6,Qz,0.0018
VOX,p13,t1,s7,Qz,0.0022
VOX,p13,t1,s8,Qz,0.0055
WAVE,p13,t1,s1,pitch,0.0036
WAVE,p13,t1,s2,pitch,0.0095
WAVE,p13,t1,s3,pitch,0.0024
WAVE,p13,t1,s4,pitch,0.0047
WAVE,p13,t1,s5,pitch,0.0024
WAVE,p13,t1,s6,pitch,0.0062
WAVE,p13,t1,s7,pitch,0.0162
WAVE,p13,t1,s8,pitch,0.0074
VOX,p13,t1,s1,pitch,0.0317
VOX,p13,t1,s2,pitch,0.0027
VOX,p13,t1,s3,pitch,0.01
VOX,p13,t1,s4,pitch,0.0021
VOX,p13,t1,s5,pitch,0.0016
VOX,p13,t1,s6,pitch,0.0026
VOX,p13,t1,s7,pitch,0.0026
VOX,p13,t1,s8,pitch,0.0041
WAVE,p13,t1,s1,yaw,0.0101
WAVE,p13,t1,s2,yaw,0.012
WAVE,p13,t1,s3,yaw,0.0878
WAVE,p13,t1,s4,yaw,0.0397
WAVE,p13,t1,s5,yaw,0.0169
WAVE,p13,t1,s6,yaw,0.0183
WAVE,p13,t1,s7,yaw,0.0073
WAVE,p13,t1,s8,yaw,0.0044
VOX,p13,t1,s1,yaw,0.8347
VOX,p13,t1,s2,yaw,0.0001
VOX,p13,t1,s3,yaw,0.1841
VOX,p13,t1,s4,yaw,0.0001
VOX,p13,t1,s5,yaw,0.0659
VOX,p13,t1,s6,yaw,0.0001
VOX,p13,t1,s7,yaw,0.0401
VOX,p13,t1,s8,yaw,0.0004
WAVE,p14,t1,s1,Qx,0.0164
WAVE,p14,t1,s2,Qx,0.0142
WAVE,p14,t1,s3,Qx,0.0102
WAVE,p14,t1,s4,Qx,0.0046
WAVE,p14,t1,s5,Qx,0.0066
WAVE,p14,t1,s6,Qx,0.0101
WAVE,p14,t1,s7,Qx,0.0174
WAVE,p14,t1,s8,Qx,0.0234
VOX,p14,t1,s1,Qx,0.0305
VOX,p14,t1,s2,Qx,0.0031
VOX,p14,t1,s3,Qx,0.0113
VOX,p14,t1,s4,Qx,0.0018
VOX,p14,t1,s5,Qx,0.0013
VOX,p14,t1,s6,Qx,0.0026
VOX,p14,t1,s7,Qx,0.0138
VOX,p14,t1,s8,Qx,0.0047
WAVE,p14,t1,s1,Qy,0.0318
WAVE,p14,t1,s2,Qy,0.0123
WAVE,p14,t1,s3,Qy,0.0209
WAVE,p14,t1,s4,Qy,0.0169
WAVE,p14,t1,s5,Qy,0.0238
WAVE,p14,t1,s6,Qy,0.0181
WAVE,p14,t1,s7,Qy,0.008
WAVE,p14,t1,s8,Qy,0.0146
VOX,p14,t1,s1,Qy,0.0114
VOX,p14,t1,s2,Qy,0.0022
VOX,p14,t1,s3,Qy,0.0152
VOX,p14,t1,s4,Qy,0.0022
VOX,p14,t1,s5,Qy,0.0016
VOX,p14,t1,s6,Qy,0.0031
VOX,p14,t1,s7,Qy,0.0205
VOX,p14,t1,s8,Qy,0.0086
WAVE,p14,t1,s1,Qz,0.0262
WAVE,p14,t1,s2,Qz,0.0175
WAVE,p14,t1,s3,Qz,0.0182
WAVE,p14,t1,s4,Qz,0.0163
WAVE,p14,t1,s5,Qz,0.0178
WAVE,p14,t1,s6,Qz,0.0094
WAVE,p14,t1,s7,Qz,0.0073
WAVE,p14,t1,s8,Qz,0.0129
VOX,p14,t1,s1,Qz,0.0171
VOX,p14,t1,s2,Qz,0.0022
VOX,p14,t1,s3,Qz,0.008
VOX,p14,t1,s4,Qz,0.0024
VOX,p14,t1,s5,Qz,0.0018
VOX,p14,t1,s6,Qz,0.002
VOX,p14,t1,s7,Qz,0.0147
VOX,p14,t1,s8,Qz,0.0044
WAVE,p14,t1,s1,pitch,0.0049
WAVE,p14,t1,s2,pitch,0.004
WAVE,p14,t1,s3,pitch,0.0051
WAVE,p14,t1,s4,pitch,0.0038
WAVE,p14,t1,s5,pitch,0.0046
WAVE,p14,t1,s6,pitch,0.0059
WAVE,p14,t1,s7,pitch,0.0034
WAVE,p14,t1,s8,pitch,0.0041
VOX,p14,t1,s1,pitch,0.0256
VOX,p14,t1,s2,pitch,0.0028
VOX,p14,t1,s3,pitch,0.0174
VOX,p14,t1,s4,pitch,0.0021
VOX,p14,t1,s5,pitch,0.0019
VOX,p14,t1,s6,pitch,0.0027
VOX,p14,t1,s7,pitch,0.0115
VOX,p14,t1,s8,pitch,0.0044
WAVE,p14,t1,s1,yaw,0.0136
WAVE,p14,t1,s2,yaw,0.0051
WAVE,p14,t1,s3,yaw,0.1314
WAVE,p14,t1,s4,yaw,0.0444
WAVE,p14,t1,s5,yaw,0.0252
WAVE,p14,t1,s6,yaw,0.0115
WAVE,p14,t1,s7,yaw,0.0032
WAVE,p14,t1,s8,yaw,0.0051
VOX,p14,t1,s1,yaw,0.6646
VOX,p14,t1,s2,yaw,0.0001
VOX,p14,t1,s3,yaw,0.3585
VOX,p14,t1,s4,yaw,0.0001
VOX,p14,t1,s5,yaw,0.0757
VOX,p14,t1,s6,yaw,0
VOX,p14,t1,s7,yaw,0.2174
VOX,p14,t1,s8,yaw,0.0004
WAVE,p15,t1,s1,Qx,0.0163
WAVE,p15,t1,s2,Qx,0.0082
WAVE,p15,t1,s3,Qx,0.0066
WAVE,p15,t1,s4,Qx,0.0042
WAVE,p15,t1,s5,Qx,0.0049
WAVE,p15,t1,s6,Qx,0.0072
WAVE,p15,t1,s7,Qx,0.0088
WAVE,p15,t1,s8,Qx,0.0138
VOX,p15,t1,s1,Qx,0.0198
VOX,p15,t1,s2,Qx,0.0029
VOX,p15,t1,s3,Qx,0.0144
VOX,p15,t1,s4,Qx,0.0021
VOX,p15,t1,s5,Qx,0.0127
VOX,p15,t1,s6,Qx,0.003
VOX,p15,t1,s7,Qx,0.0189
VOX,p15,t1,s8,Qx,0.0056
WAVE,p15,t1,s1,Qy,0.0168
WAVE,p15,t1,s2,Qy,0.012
WAVE,p15,t1,s3,Qy,0.0098
WAVE,p15,t1,s4,Qy,0.0093
WAVE,p15,t1,s5,Qy,0.0111
WAVE,p15,t1,s6,Qy,0.0119
WAVE,p15,t1,s7,Qy,0.0058
WAVE,p15,t1,s8,Qy,0.0107
VOX,p15,t1,s1,Qy,0.0075
VOX,p15,t1,s2,Qy,0.0022
VOX,p15,t1,s3,Qy,0.0105
VOX,p15,t1,s4,Qy,0.0021
VOX,p15,t1,s5,Qy,0.0264
VOX,p15,t1,s6,Qy,0.0028
VOX,p15,t1,s7,Qy,0.0156
VOX,p15,t1,s8,Qy,0.0052
WAVE,p15,t1,s1,Qz,0.0249
WAVE,p15,t1,s2,Qz,0.0081
WAVE,p15,t1,s3,Qz,0.0134
WAVE,p15,t1,s4,Qz,0.0155
WAVE,p15,t1,s5,Qz,0.0134
WAVE,p15,t1,s6,Qz,0.0095
WAVE,p15,t1,s7,Qz,0.0062
WAVE,p15,t1,s8,Qz,0.0143
VOX,p15,t1,s1,Qz,0.0041
VOX,p15,t1,s2,Qz,0.002
VOX,p15,t1,s3,Qz,0.0101
VOX,p15,t1,s4,Qz,0.002
VOX,p15,t1,s5,Qz,0.01
VOX,p15,t1,s6,Qz,0.0022
VOX,p15,t1,s7,Qz,0.0048
VOX,p15,t1,s8,Qz,0.0017
WAVE,p15,t1,s1,pitch,0.0036
WAVE,p15,t1,s2,pitch,0.0023
WAVE,p15,t1,s3,pitch,0.0044
WAVE,p15,t1,s4,pitch,0.0025
WAVE,p15,t1,s5,pitch,0.0034
WAVE,p15,t1,s6,pitch,0.0044
WAVE,p15,t1,s7,pitch,0.0021
WAVE,p15,t1,s8,pitch,0.0038
VOX,p15,t1,s1,pitch,0.0206
VOX,p15,t1,s2,pitch,0.0029
VOX,p15,t1,s3,pitch,0.018
VOX,p15,t1,s4,pitch,0.0022
VOX,p15,t1,s5,pitch,0.0144
VOX,p15,t1,s6,pitch,0.0021
VOX,p15,t1,s7,pitch,0.0164
VOX,p15,t1,s8,pitch,0.0042
WAVE,p15,t1,s1,yaw,0.0063
WAVE,p15,t1,s2,yaw,0.0024
WAVE,p15,t1,s3,yaw,0.0609
WAVE,p15,t1,s4,yaw,0.0521
WAVE,p15,t1,s5,yaw,0.0162
WAVE,p15,t1,s6,yaw,0.0066
WAVE,p15,t1,s7,yaw,0.0031
WAVE,p15,t1,s8,yaw,0.0054
VOX,p15,t1,s1,yaw,0.526
VOX,p15,t1,s2,yaw,0.0001
VOX,p15,t1,s3,yaw,0.4452
VOX,p15,t1,s4,yaw,0.0001
VOX,p15,t1,s5,yaw,0.2099
VOX,p15,t1,s6,yaw,0
VOX,p15,t1,s7,yaw,0.2354
VOX,p15,t1,s8,yaw,0.0003
WAVE,p16,t1,s1,Qx,0.0077
WAVE,p16,t1,s2,Qx,0.008
WAVE,p16,t1,s3,Qx,0.0068
WAVE,p16,t1,s4,Qx,0.0064
WAVE,p16,t1,s5,Qx,0.0035
WAVE,p16,t1,s6,Qx,0.0064
WAVE,p16,t1,s7,Qx,0.0051
WAVE,p16,t1,s8,Qx,0.0094
VOX,p16,t1,s1,Qx,0.0021
VOX,p16,t1,s2,Qx,0.0032
VOX,p16,t1,s3,Qx,0.0023
VOX,p16,t1,s4,Qx,0.0025
VOX,p16,t1,s5,Qx,0.0081
VOX,p16,t1,s6,Qx,0.0027
VOX,p16,t1,s7,Qx,0.0194
VOX,p16,t1,s8,Qx,0.0051
WAVE,p16,t1,s1,Qy,0.0034
WAVE,p16,t1,s2,Qy,0.0104
WAVE,p16,t1,s3,Qy,0.0052
WAVE,p16,t1,s4,Qy,0.0049
WAVE,p16,t1,s5,Qy,0.0031
WAVE,p16,t1,s6,Qy,0.0077
WAVE,p16,t1,s7,Qy,0.0022
WAVE,p16,t1,s8,Qy,0.0053
VOX,p16,t1,s1,Qy,0.0016
VOX,p16,t1,s2,Qy,0.0026
VOX,p16,t1,s3,Qy,0.0017
VOX,p16,t1,s4,Qy,0.0026
VOX,p16,t1,s5,Qy,0.0125
VOX,p16,t1,s6,Qy,0.0028
VOX,p16,t1,s7,Qy,0.0172
VOX,p16,t1,s8,Qy,0.0062
WAVE,p16,t1,s1,Qz,0.0127
WAVE,p16,t1,s2,Qz,0.0185
WAVE,p16,t1,s3,Qz,0.0137
WAVE,p16,t1,s4,Qz,0.0128
WAVE,p16,t1,s5,Qz,0.0056
WAVE,p16,t1,s6,Qz,0.0111
WAVE,p16,t1,s7,Qz,0.0062
WAVE,p16,t1,s8,Qz,0.0165
VOX,p16,t1,s1,Qz,0.0026
VOX,p16,t1,s2,Qz,0.003
VOX,p16,t1,s3,Qz,0.0031
