articulograph,rigidBody,speed,trial,sensorSet,SD
vox,circle,0,t4,v2,0.06
vox,circle,1,t4,v2,0.17
vox,circle,2,t4,v2,0.25
vox,circle,3,t4,v2,0.3
vox,eccentricSmall,0,t4,v2,0.02
vox,eccentricSmall,1,t4,v2,0.05
vox,eccentricSmall,2,t4,v2,0.06
vox,eccentricSmall,3,t4,v2,0.07
vox,eccentricLarge,0,t4,v2,0.01
vox,eccentricLarge,1,t4,v2,0.05
vox,eccentricLarge,2,t4,v2,0.12
vox,eccentricLarge,3,t4,v2,0.15
vox,static,0,t4,v2,0.01
vox,static,1,t4,v2,0.01
vox,static,2,t4,v2,0.02
vox,static,3,t4,v2,0.02
vox,piston,0,t4,v2,0.01
vox,piston,1,t4,v2,0.05
vox,piston,2,t4,v2,0.08
vox,piston,3,t4,v2,0.15
