articulograph,trial,sensorSet,dynamicTask,sensor,missing
WAVE,t4,sw2a,automatedFast,sa3,0
WAVE,t4,sw2a,automatedFast,sa4,0
WAVE,t4,sw2a,automatedFast,sa5,0
WAVE,t4,sw2a,automatedFast,sa6,0
WAVE,t4,sw2a,automatedFast,sa7,0
WAVE,t4,sw2a,automatedFast,sa8,0
WAVE,t4,sw2b,blockSmall,bs1,0
WAVE,t4,sw2b,blockSmall,bs2,0
WAVE,t4,sw2b,blockSmall,bs3,0
WAVE,t4,sw2b,blockSmall,bs4,0
WAVE,t4,sw2b,blockSmall,bs5,0
WAVE,t4,sw2b,blockSmall,bs6,0
WAVE,t4,sw2b,blockSmall,bs7,0
WAVE,t4,sw2b,blockSmall,bs8,0
WAVE,t4,sw2b,blockLarge,bs1,0
WAVE,t4,sw2b,blockLarge,bs2,0
WAVE,t4,sw2b,blockLarge,bs3,0
WAVE,t4,sw2b,blockLarge,bs4,0.1
WAVE,t4,sw2b,blockLarge,bs5,0
WAVE,t4,sw2b,blockLarge,bs6,0
WAVE,t4,sw2b,blockLarge,bs7,0.02
WAVE,t4,sw2b,blockLarge,bs8,0.01
WAVE,t4,sw2b,CD,cds1,0.1
WAVE,t4,sw2b,CD,cds2,0
WAVE,t4,sw2b,CD,cds3,0
WAVE,t4,sw2b,CD,cds4,0
WAVE,t4,sw2b,CD,cds5,0
VOX,t4,sv2a,automatedSlow,sa1,0
VOX,t4,sv2a,automatedSlow,sa2,0
VOX,t4,sv2a,automatedSlow,sa3,0
VOX,t4,sv2a,automatedSlow,sa4,0
VOX,t4,sv2a,automatedSlow,sa5,0
VOX,t4,sv2a,automatedSlow,sa6,0
VOX,t4,sv2a,automatedSlow,sa7,0
VOX,t4,sv2a,automatedSlow,sa8,0
VOX,t4,sv2a,automatedMedium,sa1,0
VOX,t4,sv2a,automatedMedium,sa2,0
VOX,t4,sv2a,automatedMedium,sa3,0
VOX,t4,sv2a,automatedMedium,sa4,0
VOX,t4,sv2a,automatedMedium,sa5,0
VOX,t4,sv2a,automatedMedium,sa6,0
VOX,t4,sv2a,automatedMedium,sa7,0
VOX,t4,sv2a,automatedMedium,sa8,0
VOX,t4,sv2a,automatedFast,sa1,0
VOX,t4,sv2a,automatedFast,sa2,0
