articulograph,trial,sensor,sensorSet,positionPair,error
WAVE,t3,s2,sw2,fourteenfifteen,0.0105
VOX,t3,s1,sv2,onetwo,0.1031
VOX,t3,s1,sv2,twothree,0.0581
VOX,t3,s1,sv2,threefour,0.093
VOX,t3,s1,sv2,fourfive,0.1917
VOX,t3,s1,sv2,fivesix,0.3023
VOX,t3,s1,sv2,seveneight,0.0482
VOX,t3,s1,sv2,eightnine,0.2766
VOX,t3,s1,sv2,teneleven,0.0552
VOX,t3,s1,sv2,eleventwelve,0.6017
VOX,t3,s1,sv2,thirteenfourteen,0.2713
VOX,t3,s1,sv2,fourteenfifteen,0.4527
VOX,t3,s2,sv2,onetwo,0.0433
VOX,t3,s2,sv2,twothree,0.0071
VOX,t3,s2,sv2,threefour,0.0769
VOX,t3,s2,sv2,fourfive,0.1479
VOX,t3,s2,sv2,fivesix,0.1695
VOX,t3,s2,sv2,seveneight,0.2331
VOX,t3,s2,sv2,eightnine,0.4401
VOX,t3,s2,sv2,teneleven,0.0145
VOX,t3,s2,sv2,eleventwelve,0.5467
VOX,t3,s2,sv2,thirteenfourteen,0.1474
VOX,t3,s2,sv2,fourteenfifteen,0.4651
WAVE,t4,s1,sw2,onetwo,0.0892
WAVE,t4,s1,sw2,twothree,0.0394
WAVE,t4,s1,sw2,threefour,0.0094
WAVE,t4,s1,sw2,fourfive,0.1014
WAVE,t4,s1,sw2,fivesix,0.1986
WAVE,t4,s1,sw2,seveneight,0.5274
WAVE,t4,s1,sw2,eightnine,0.5064
WAVE,t4,s1,sw2,teneleven,0.3341
WAVE,t4,s1,sw2,eleventwelve,0.147
WAVE,t4,s1,sw2,thirteenfourteen,0.0375
WAVE,t4,s1,sw2,fourteenfifteen,0.0201
WAVE,t4,s2,sw2,onetwo,0.0564
WAVE,t4,s2,sw2,twothree,0.0911
WAVE,t4,s2,sw2,threefour,0.0147
WAVE,t4,s2,sw2,fourfive,0.3082
WAVE,t4,s2,sw2,fivesix,0.9371
WAVE,t4,s2,sw2,seveneight,3.1695
WAVE,t4,s2,sw2,eightnine,1.4419
WAVE,t4,s2,sw2,teneleven,0.0261
WAVE,t4,s2,sw2,eleventwelve,0.2834
WAVE,t4,s2,sw2,thirteenfourteen,0.1112
WAVE,t4,s2,sw2,fourteenfifteen,0.0139
VOX,t4,s1,sv2,onetwo,0.1027
VOX,t4,s1,sv2,twothree,0.0586
VOX,t4,s1,sv2,threefour,0.0923
VOX,t4,s1,sv2,fourfive,0.1906
VOX,t4,s1,sv2,fivesix,0.3047
VOX,t4,s1,sv2,seveneight,0.0916
